# JMH 1.15 (released 208 days ago, please consider updating!)
# VM version: JDK 1.8.0_121, VM 25.121-b13
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.MyBenchmark.GroovyDynamicMethod0_0

# Run progress: 0.00% complete, ETA 00:30:00
# Fork: 1 of 3
# Warmup Iteration   1: 0.023 us/op
# Warmup Iteration   2: 0.019 us/op
# Warmup Iteration   3: 0.018 us/op
# Warmup Iteration   4: 0.018 us/op
# Warmup Iteration   5: 0.018 us/op
# Warmup Iteration   6: 0.018 us/op
# Warmup Iteration   7: 0.018 us/op
# Warmup Iteration   8: 0.019 us/op
# Warmup Iteration   9: 0.018 us/op
# Warmup Iteration  10: 0.018 us/op
# Warmup Iteration  11: 0.018 us/op
# Warmup Iteration  12: 0.018 us/op
# Warmup Iteration  13: 0.018 us/op
# Warmup Iteration  14: 0.018 us/op
# Warmup Iteration  15: 0.018 us/op
# Warmup Iteration  16: 0.018 us/op
# Warmup Iteration  17: 0.018 us/op
# Warmup Iteration  18: 0.018 us/op
# Warmup Iteration  19: 0.018 us/op
# Warmup Iteration  20: 0.018 us/op
Iteration   1: 0.018 us/op
Iteration   2: 0.018 us/op
Iteration   3: 0.018 us/op
Iteration   4: 0.018 us/op
Iteration   5: 0.018 us/op
Iteration   6: 0.018 us/op
Iteration   7: 0.018 us/op
Iteration   8: 0.018 us/op
Iteration   9: 0.018 us/op
Iteration  10: 0.018 us/op
Iteration  11: 0.018 us/op
Iteration  12: 0.018 us/op
Iteration  13: 0.018 us/op
Iteration  14: 0.018 us/op
Iteration  15: 0.018 us/op
Iteration  16: 0.018 us/op
Iteration  17: 0.018 us/op
Iteration  18: 0.018 us/op
Iteration  19: 0.018 us/op
Iteration  20: 0.018 us/op

# Run progress: 2.22% complete, ETA 00:29:28
# Fork: 2 of 3
# Warmup Iteration   1: 0.026 us/op
# Warmup Iteration   2: 0.019 us/op
# Warmup Iteration   3: 0.018 us/op
# Warmup Iteration   4: 0.018 us/op
# Warmup Iteration   5: 0.018 us/op
# Warmup Iteration   6: 0.018 us/op
# Warmup Iteration   7: 0.018 us/op
# Warmup Iteration   8: 0.019 us/op
# Warmup Iteration   9: 0.018 us/op
# Warmup Iteration  10: 0.018 us/op
# Warmup Iteration  11: 0.018 us/op
# Warmup Iteration  12: 0.018 us/op
# Warmup Iteration  13: 0.018 us/op
# Warmup Iteration  14: 0.018 us/op
# Warmup Iteration  15: 0.018 us/op
# Warmup Iteration  16: 0.018 us/op
# Warmup Iteration  17: 0.018 us/op
# Warmup Iteration  18: 0.018 us/op
# Warmup Iteration  19: 0.018 us/op
# Warmup Iteration  20: 0.018 us/op
Iteration   1: 0.018 us/op
Iteration   2: 0.018 us/op
Iteration   3: 0.018 us/op
Iteration   4: 0.018 us/op
Iteration   5: 0.018 us/op
Iteration   6: 0.018 us/op
Iteration   7: 0.018 us/op
Iteration   8: 0.018 us/op
Iteration   9: 0.018 us/op
Iteration  10: 0.018 us/op
Iteration  11: 0.018 us/op
Iteration  12: 0.018 us/op
Iteration  13: 0.018 us/op
Iteration  14: 0.018 us/op
Iteration  15: 0.018 us/op
Iteration  16: 0.018 us/op
Iteration  17: 0.018 us/op
Iteration  18: 0.018 us/op
Iteration  19: 0.018 us/op
Iteration  20: 0.018 us/op

# Run progress: 4.44% complete, ETA 00:28:48
# Fork: 3 of 3
# Warmup Iteration   1: 0.023 us/op
# Warmup Iteration   2: 0.019 us/op
# Warmup Iteration   3: 0.018 us/op
# Warmup Iteration   4: 0.018 us/op
# Warmup Iteration   5: 0.018 us/op
# Warmup Iteration   6: 0.018 us/op
# Warmup Iteration   7: 0.018 us/op
# Warmup Iteration   8: 0.018 us/op
# Warmup Iteration   9: 0.018 us/op
# Warmup Iteration  10: 0.018 us/op
# Warmup Iteration  11: 0.018 us/op
# Warmup Iteration  12: 0.018 us/op
# Warmup Iteration  13: 0.018 us/op
# Warmup Iteration  14: 0.018 us/op
# Warmup Iteration  15: 0.018 us/op
# Warmup Iteration  16: 0.018 us/op
# Warmup Iteration  17: 0.018 us/op
# Warmup Iteration  18: 0.018 us/op
# Warmup Iteration  19: 0.018 us/op
# Warmup Iteration  20: 0.018 us/op
Iteration   1: 0.018 us/op
Iteration   2: 0.018 us/op
Iteration   3: 0.018 us/op
Iteration   4: 0.018 us/op
Iteration   5: 0.018 us/op
Iteration   6: 0.018 us/op
Iteration   7: 0.018 us/op
Iteration   8: 0.018 us/op
Iteration   9: 0.018 us/op
Iteration  10: 0.018 us/op
Iteration  11: 0.018 us/op
Iteration  12: 0.018 us/op
Iteration  13: 0.018 us/op
Iteration  14: 0.018 us/op
Iteration  15: 0.018 us/op
